hostname	location	active	owned	provider	stboot	ipv4_addr_in	ipv4_in_aws	ipv4_score	include_in_country	weight	pubkey	ipv6_addr_in	ipv6_in_aws	ipv6_score	shadowsocks_addr_in	shadowsocks_in_aws	shadowsocks_score	daita	quic_addr_in	quic_in_aws	quic_score
cz-prg-wg-202	cz-prg	True	False	DataPacket	True	178.249.209.175	False	30	True	100	ReGrGPKDHri64D7qeXmgcLzjsTJ0B/yM7eekFz1P/34=	2a02:6ea0:c201:1::f101	False	None	None	None	None	False	None	None	None
ch-zrh-wg-403	ch-zrh	False	False	DataPacket	True	138.199.6.220	False	9	True	80	Jmhds6oPu6/j94hjllJCIaKLDyWu6V+ZNRrVVFhWJkI=	2a02:6ea0:d406:3::a20f	False	None	None	None	None	False	None	None	None
de-ber-wg-002	de-ber	True	True	31173	True	193.32.248.67	False	44	True	50	8ov1Ws0ut3ixWDh9Chp7/WLVn9qC6/WVHtcBcuWBlgo=	2a03:1b20:b:f011::a02f	False	None	151.241.171.50	False	None	False	151.241.171.40	False	None
ch-zrh-wg-005	ch-zrh	True	True	31173	True	193.32.127.70	False	14	True	50	dV/aHhwG0fmp0XuvSvrdWjCtdyhPDDFiE/nuv/1xnRM=	2a03:1b20:a:f011::f401	False	None	2a03:1b20:a:f011::b402	False	None	True	None	None	None
de-dus-wg-003	de-dus	True	False	xtom	True	185.254.75.5	False	20	True	150	XgSe9UwEV4JJNPPzFFOVYS6scMTL4DeNlwqBl32lDw0=	2a03:d9c0:3000::a22f	False	None	None	None	None	False	None	None	None
de-ber-wg-001	de-ber	True	True	31173	True	193.32.248.66	False	44	True	50	0qSP0VxoIhEhRK+fAHVvmfRdjPs2DmmpOCNLFP/7cGw=	2a03:1b20:b:f011::a01f	False	None	151.241.171.20	False	None	False	151.241.171.10	False	None
de-ber-wg-003	de-ber	True	True	31173	True	193.32.248.68	False	44	True	100	FojZmpH6DjNRwkDDPeSeFPOV9xKPJ1HmgTMkowZ1Lwg=	2a03:1b20:b:f011::f201	False	None	193.32.248.131	False	None	False	193.32.248.86	False	None
ch-zrh-wg-503	ch-zrh	False	False	M247	True	77.243.184.2	False	73	True	200	ybC4yewkIBN+x530P5iiDdZs3mhY6xHIZOlVHMSobg0=	2001:ac8:28:ac::f001	False	None	77.243.184.16	False	None	True	77.243.184.5	False	None
de-dus-wg-001	de-dus	True	False	xtom	True	185.254.75.3	False	20	True	150	ku1NYeOAGbY65YL/JKZhrqVzDJKXQiVj9USXbfkOBA0=	2a03:d9c0:3000::a20f	False	None	None	None	None	False	None	None	None
ch-zrh-wg-502	ch-zrh	True	False	M247	True	135.136.18.194	False	59	True	100	6rXNS6RlZ9YLZQjaEbfzAmt/6izpuMg/8LYI9jBK+i0=	2001:ac8:28:ab::f001	False	None	135.136.18.227	False	None	True	135.136.18.206	False	None
cy-nic-wg-001	cy-nic	True	False	HostRoyale	True	195.47.194.131	False	29	True	100	Ae9YcQjcQT+W8MU0EhKXx6KPWo6ticS1NI91e+Zy5GA=	2a06:3040:f:601::f001	False	None	195.47.194.133	False	None	False	None	None	None
de-ber-wg-103	de-ber	True	False	DataPacket	True	152.233.51.63	False	42	True	100	3yls39oKxbK8/siowvAdUmIepBEqjUwuLOAVlcwuDxw=	2a02:6ea0:5e03:5::f001	False	None	152.233.51.64	False	None	True	152.233.51.65	False	None
cz-prg-wg-102	cz-prg	True	False	M247	True	146.70.129.130	False	0	True	100	cRCJ0vULwKRbTfzuo9W+fIt0fJGQE7DLvojIiURIpiI=	2001:ac8:33:d::a02f	False	None	None	None	None	False	146.70.129.158	False	None
